DateTime 	ACLineStatus 	BatteryFlag 	BatteryLifePercent 	BackupBatteryFlag 	BackupBatteryLifePercent 	BatteryVoltage 	BatteryCurrent 	BatteryAverageCurrent 	BatteryAverageInterval 	BatterymAHourConsumed 	BatteryTemperature 	BackupBatteryVoltage 	estimated BattLife(for 4000 mAh) 	wifi 	phone 	BT 	bklLevel 	BKL stat	PowerMsg
20131209154136	0001	0008	0100	0008	0100	4215	0	0	5120	0	250	3114	00:00	 1	-1	 0	 5	 1	"info: "
20131209154434	0001	0008	0100	0008	0100	4215	0	0	5120	0	250	3114	00:00	 0	-1	 0	 5	 0	"trans.: RESET|"
DateTime 	ACLineStatus 	BatteryFlag 	BatteryLifePercent 	BackupBatteryFlag 	BackupBatteryLifePercent 	BatteryVoltage 	BatteryCurrent 	BatteryAverageCurrent 	BatteryAverageInterval 	BatterymAHourConsumed 	BatteryTemperature 	BackupBatteryVoltage 	estimated BattLife(for 4000 mAh) 	wifi 	phone 	BT 	bklLevel 	BKL stat	PowerMsg
20131209154522	0001	0008	0100	0008	0100	4221	87	87	5120	0	250	3114	45:58	 0	-1	 0	 5	 1	"info: "
20131209154537	0001	0008	0100	0008	0100	4221	81	81	5120	0	240	3109	49:22	 0	-1	 0	 5	 1	"trans.: ON|PASSWORD|BACKLIGHTON|"
20131209235823	0001	0008	0100	0008	0100	4221	70	70	5120	0	250	3114	57:08	 0	-1	 0	 5	 0	"trans.: UNATTENDED|"
20131210000201	0001	0008	0100	0008	0100	4216	0	0	5120	0	250	3109	00:00	 0	-1	 0	 5	 1	"trans.: ON|PASSWORD|BACKLIGHTON|"
20131210000215	0000	0001	0100	0008	0100	4202	4294967073	4294967073	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131210000227	0000	0001	0100	0008	0100	4200	4294967070	4294967070	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131210235837	0000	0001	0100	0008	0100	4196	4294967002	4294967002	5120	0	250	3109	00:00	 0	-1	 0	 0	 0	"trans.: UNATTENDED|"
20131210235838	0000	0001	0100	0008	0100	4196	4294967002	4294967002	5120	0	250	3114	00:00	 0	-1	 0	 0	 0	"trans.: SUSPEND|"
20131211000000	0000	0001	0100	0008	0100	4210	4294967239	4294967239	5120	0	250	3109	00:00	 0	-1	 0	 0	 0	"trans.: PASSWORD|"
20131211000000	0000	0001	0100	0008	0100	4210	4294967239	4294967239	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"resume: "
20131211000000	0000	0001	0100	0008	0100	4210	4294967239	4294967239	5120	0	250	3114	00:00	 0	-1	 0	 0	 1	"trans.: ON|PASSWORD|BACKLIGHTON|"
20131211000011	0000	0001	0100	0008	0100	4198	4294967073	4294967073	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131211000023	0000	0001	0100	0008	0100	4198	4294967074	4294967074	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131211000059	0000	0001	0100	0008	0100	4196	4294967071	4294967071	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131211000111	0000	0001	0100	0008	0100	4196	4294967074	4294967074	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131211000147	0000	0001	0100	0008	0100	4195	4294967075	4294967075	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131211000159	0000	0001	0100	0008	0100	4195	4294967073	4294967073	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131211000211	0000	0001	0100	0008	0100	4194	4294967074	4294967074	5120	0	250	3114	00:00	 0	-1	 0	 0	 1	"info: "
20131211000236	0000	0001	0100	0008	0100	4193	4294967074	4294967074	5120	0	250	3114	00:00	 0	-1	 0	 0	 1	"info: "
20131211000300	0000	0001	0100	0008	0100	4193	4294967071	4294967071	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131211000312	0000	0001	0100	0008	0100	4193	4294967074	4294967074	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131211000336	0000	0001	0100	0008	0100	4193	4294967074	4294967074	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131211000348	0000	0001	0100	0008	0100	4192	4294967073	4294967073	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131211000400	0000	0001	0100	0008	0100	4191	4294967056	4294967056	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131211000412	0000	0001	0100	0008	0100	4192	4294967074	4294967074	5120	0	250	3105	00:00	 0	-1	 0	 0	 1	"info: "
20131211000440	0000	0001	0100	0008	0100	4191	4294967074	4294967074	5120	0	250	3114	00:00	 0	-1	 0	 0	 1	"-"
20131211000500	0000	0001	0100	0008	0100	4191	4294967070	4294967070	5120	0	250	3114	00:00	 0	-1	 0	 0	 1	"info: "
20131211000512	0000	0001	0100	0008	0100	4189	4294967047	4294967047	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131211000524	0000	0001	0100	0008	0100	4188	4294967047	4294967047	5120	0	250	3109	00:00	 0	-1	 0	 0	 1	"info: "
20131211000537	0001	0008	0100	0008	0100	4204	61	61	5120	0	250	3109	65:34	 0	-1	 0	 5	 1	"trans.: ON|PASSWORD|BACKLIGHTON|"
20131211000539	0001	0008	0100	0008	0100	4216	190	190	5120	0	250	3109	21:03	 0	-1	 0	 5	 1	"info: "
