Date 	Time 	ACLineStatus 	BatteryFlag 	BatteryLifePercent 	BackupBatteryFlag 	BackupBatteryLifePercent 	BatteryVoltage 	BatteryCurrent 	BatteryAverageCurrent 	BatteryAverageInterval 	BatterymAHourConsumed 	BatteryTemperature 	BackupBatteryVoltage 	estimated BattLife(for 4000 mAh)
02.06.2005 	04:52:47 	0001 	0008 	0100 	0009 	0100 	4198 	729 	729 	5120 	0 	340 	2317 	05:29
02.06.2005 	04:53:09 	0001 	0008 	0100 	0009 	0100 	4198 	725 	725 	5120 	0 	340 	2319 	03:02
02.06.2005 	04:53:22 	0001 	0008 	0100 	0009 	0100 	4198 	722 	722 	5120 	0 	340 	2318 	03:02
02.06.2005 	04:53:47 	0001 	0008 	0100 	0009 	0100 	4198 	717 	717 	5120 	0 	340 	2319 	05:34
02.06.2005 	04:54:09 	0001 	0008 	0100 	0009 	0100 	4198 	714 	714 	5120 	0 	340 	2318 	03:04
02.06.2005 	04:54:22 	0001 	0008 	0100 	0009 	0100 	4198 	710 	710 	5120 	0 	340 	2318 	03:05
02.06.2005 	04:54:47 	0001 	0008 	0100 	0009 	0100 	4198 	706 	706 	5120 	0 	340 	2317 	05:39
02.06.2005 	04:55:09 	0001 	0008 	0100 	0009 	0100 	4198 	701 	701 	5120 	0 	340 	2317 	03:08
02.06.2005 	04:55:22 	0001 	0008 	0100 	0009 	0100 	4198 	699 	699 	5120 	0 	340 	2319 	03:08
02.06.2005 	04:55:47 	0001 	0008 	0100 	0009 	0100 	4198 	693 	693 	5120 	0 	340 	2317 	05:46
02.06.2005 	04:56:09 	0001 	0008 	0100 	0009 	0100 	4198 	688 	688 	5120 	0 	340 	2318 	03:11
02.06.2005 	04:56:22 	0001 	0008 	0100 	0009 	0100 	4198 	686 	686 	5120 	0 	340 	2318 	03:12
02.06.2005 	04:56:47 	0001 	0008 	0100 	0009 	0100 	4198 	680 	680 	5120 	0 	340 	2317 	05:52
02.06.2005 	04:57:09 	0001 	0008 	0100 	0009 	0100 	4198 	677 	677 	5120 	0 	340 	2319 	03:14
02.06.2005 	04:57:22 	0001 	0008 	0100 	0009 	0100 	4198 	673 	673 	5120 	0 	340 	2317 	03:16
02.06.2005 	04:57:47 	0001 	0008 	0100 	0009 	0100 	4198 	668 	668 	5120 	0 	340 	2318 	05:59
02.06.2005 	04:58:09 	0001 	0008 	0100 	0009 	0100 	4198 	664 	664 	5120 	0 	340 	2316 	03:18
02.06.2005 	04:58:22 	0001 	0008 	0100 	0009 	0100 	4198 	661 	661 	5120 	0 	340 	2318 	03:19
02.06.2005 	04:58:47 	0000 	0001 	0100 	0009 	0100 	4198 	657 	657 	5120 	0 	340 	2318 	06:05
02.06.2005 	04:59:09 	0000 	0001 	0084 	0009 	0100 	3976 	590 	590 	5120 	0 	340 	2318 	03:43
02.06.2005 	04:59:22 	0000 	0001 	0080 	0009 	0100 	3968 	487 	487 	5120 	0 	330 	2318 	04:31
02.06.2005 	04:59:47 	0000 	0001 	0078 	0009 	0100 	3960 	489 	489 	5120 	0 	330 	2318 	08:10
02.06.2005 	05:00:09 	0000 	0001 	0077 	0009 	0100 	3952 	497 	497 	5120 	0 	330 	2317 	04:25
02.06.2005 	05:00:22 	0000 	0001 	0077 	0009 	0100 	3949 	491 	491 	5120 	0 	330 	2318 	04:28
02.06.2005 	05:00:47 	0000 	0001 	0076 	0009 	0100 	3944 	490 	490 	5120 	0 	330 	2319 	08:09
02.06.2005 	05:01:09 	0000 	0001 	0076 	0009 	0100 	3963 	378 	378 	5120 	0 	330 	2317 	05:49
02.06.2005 	05:01:22 	0000 	0001 	0076 	0009 	0100 	3963 	375 	375 	5120 	0 	330 	2317 	05:51
02.06.2005 	05:01:47 	0000 	0001 	0076 	0009 	0100 	3960 	375 	375 	5120 	0 	330 	2317 	10:39
02.06.2005 	05:02:09 	0000 	0001 	0076 	0009 	0100 	3960 	375 	375 	5120 	0 	320 	2318 	05:51
02.06.2005 	05:02:22 	0000 	0001 	0076 	0009 	0100 	3960 	375 	375 	5120 	0 	320 	2318 	05:51
02.06.2005 	05:02:47 	0000 	0001 	0075 	0009 	0100 	3955 	377 	377 	5120 	0 	320 	2317 	10:36
